port_type,port_name,ship_count
origin,Monsteraas,2
origin,Fischer,2
origin,"Picton, N.S.",2
origin,Cape Lopez,2
origin,Curacao,2
origin,NEDER KALIX,2
origin,Panama,2
origin,Coatzacoalcos,2
origin,Leer,2
origin,Filtvedt,2
origin,Hafendamm,2
origin,Calicut,2
origin,Montego Bay,2
origin,Cobourete,2
origin,Port Townsend,2
origin,Kohlboda,2
origin,Curacoa,2
origin,Cagliari,2
origin,Grundvik,2
origin,Foxe,2
origin,and,2
origin,Cartagena,2
origin,Lu'ea,2
origin,Fredriksbald,2
origin,Oreground,2
origin,Levo,2
origin,Bergquara,2
origin,MEMEL,2
origin,Boroka,2
origin,Rosario,2
origin,Storfors,2
origin,Maja,2
origin,Nortelge,2
origin,Marstrand,2
origin,Bio,2
origin,"Pictou, N.B.",2
origin,Fredrikvoern,2
origin,Norfolk and Newport News,2
origin,Puebla del Caraminal,2
origin,Mayaguez,2
origin,Jersey,2
origin,Hofund,2
origin,Sapilo,2
origin,Kaipara,2
origin,Axmarby,2
origin,Freijo,2
origin,Port Hill,2
origin,Liban,2
origin,Luvia,2
origin,Albany,2
origin,Boncan,2
origin,Drangsund,2
origin,Lofvik,2
origin,Vesteras,2
origin,Risby,2
origin,Repola,2
origin,Hopewell Cape,2
origin,Kotja,2
origin,Pernovik,2
origin,Granville,2
origin,Russia,2
origin,Nouvelle,2
origin,Exploits Bay,2
origin,"Axim, W.C. Africa",2
origin,Bersimis River,2
origin,West Coast of Africa,2
origin,"Norfolk, VA.",2
origin,Hernebont,2
origin,Tromblade,2
origin,Westervick,2
origin,Jacksonville,2
origin,St. John's and Halifax,2
origin,Anna,2
origin,"Sapelo, Ga",2
origin,Namso,2
origin,Cristinestad,2
origin,Fredrikshamm,2
origin,"Sapelo, Ga.",2
origin,-,2
origin,Kristianopol,2
origin,Bergqvora,2
origin,Trois Pistoles,2
origin,"Hopewell Cape, N.B.",2
origin,Holms,2
origin,Darklkahn,2
origin,Hushgoik,2
origin,Sundvik,2
origin,Launig,2
origin,"Spencer's Island, N.S.",2
origin,Georgetown,2
origin,.,2
origin,Tlatocalpan,2
origin,Risver,2
origin,Ursviken,2
origin,Geschwister,2
origin,Champion Bay,1
origin,City of Son,1
origin,Sourabaya,1
origin,Delfshaven,1
