commodity,origin_port,count
lumber,Halifax,6
spruce,Quebec City,6
palings,Chicontimi,6
battens,Christinestad,6
yellow pine,Quebec City,6
wood pulp,Christiania,6
cedar,Santa Ana,6
ends,Soderhamn,6
half-sleepers,Ventspils,6
poplar lumber,New York,6
poplar lumber,Newport News,6
ends,New York,6
cs joinery,Gothenburg,6
wood,Treport,6
cs wood,New York,6
wood,Rouen,6
wood,Rotterdam,6
caseboards,Trondheim (Drontheim),6
logs walnut-churchill,New York,6
firewood,Finnklippan,6
planks,Fiume,6
doors,Norrkoping,6
staves,Le Havre,6
pieces,Fiume,6
mouldings,Boston,6
deal ends,Magdalen River,6
boards-foy,Gothenburg,6
bundles,Trieste,6
deal ends,Metis,6
morgan,Fredrikstad,6
ends,Gefle,5
battens,Halifax,5
pieces,Fredrikstad,5
wood,Gefle,5
sapanwood,Bangkok,5
cs desk lumber,New York,5
deals,Tonsberg,5
pieces,Nassau,5
deals,Umea,5
hickory,New York,5
wood,Copenhagen,5
sim,Odessa,5
parquets,Trieste,5
cs wood boards-o konig,Christiania,5
lath-wood,St. Petersburg,5
moulding,Gothenburg,5
wood,Odessa,5
laths,Bjorneborg,5
doors,St. John,5
matchboards,Gothenburg,5
deals,Chicoutimi,5
bls wood pulp,Gothenburg,5
timber-churchill,Danzig,5
battens,Furuogrund,5
oak wainscot logs,Klaipeda,5
staves,Newport News,5
box-boards,Gothenburg,5
laths,Fredrikshald,5
laths,G'burg,5
pitwood,Pauillac,5
boyson,Cronstadt,5
whitewood props,St. Petersburg,5
black walnut,New York,5
deals,Bathurst,5
pit props,Bjorneborg,5
pit props,Bayonne,5
battens,Ornskjoldsvik,5
oak plançons,Stettin,5
deals-foy,Gefle,5
laths-eklund,Gothenburg,5
elm staves,New York,5
blocks,Konigsberg,5
island sheds,Co.,5
mouldings,St. John,5
beaton,St. Petersburg,5
wood,Brussels,5
planks,Abo,5
ends,Chicontimi,5
wood,Boulogne,5
bls,New York,5
laths,Riga,5
deals,Jamaica,5
walnut planks,Genoa,5
pine,Montreal,5
penton,Gothenburg,5
pipe staves,New York,5
treenails,Hobart Town,5
boxwood,East London,5
shaw,New York,5
spars,Drammen,5
battens,Neder Kalix,5
staves,Norfolk,5
oak planks,Odessa,5
churchill,Newport News,5
floorings,Helsingfors,5
deals,Porsgrund,5
sawn fir,Drammen,5
floorings,Iggesund,5
aspenwood,Liepāja,5
cs shuttle blocks,Baltimore,5
deals,Stocka,5
boards,Kragero,5
oak,Newport News,5
boat hooks,Christiania,5
lthwd,Cronstadt,5
boards,Kalmar,5
cs splints,Quebec City,5
deals,Rimouski,5
deals,Risoer,5
sawn fir,Christiania,5
deals,Haparanda,5
handles,Boston,5
boards,Risoer,5
mouldings,Montreal,5
cs mouldings,Stettin,5
handles,Gothenburg,5
firewood,Borga,5
oak logs,Riga,5
palings,Metis,5
slating laths,Fredrikstad,5
mouldings,Hamburg,5
lumber-churchill,Boston,5
firewood,Sund,5
oak logs,Trieste,5
pine deal ends,Quebec City,5
deals,Pictou,5
boards,Narva,5
palings,Fredrikstad,5
caskheads,Fredrikstad,5
battens,Ahlafors,5
firwood,Stettin,5
oak logs,Baltimore,5
t redwood,Madras,5
cask heads,Fredrikstad,5
deals,St. Etienne,5
deals,River Ouelle,5
lath,Riga,5
doors,Newport News,5
boards,Trondheim (Drontheim),5
spars,Skelleftea,5
simson,Gothenburg,5
mahogany,Truxillo,5
battens,Risoer,5
ends,Matane,5
wood,Stettin,5
boathooks,St. Petersburg,5
teak squares,Rangoon,5
bds laths,Gothenburg,5
mason,Christiania,5
deals,Gamleby,5
oak staves,New York,5
deals,Fredrikshald,5
furniture hardwood,Dieppe,5
lathwood-j r boyce,Riga,5
wood boards,Bremen,5
boards,Fiume,5
boards,F'stad,5
wood blocks,Gothenburg,5
boards,Domsjo,5
hardwood lumber,Newport News,5
palmer,Trieste,5
staves,Narva,5
wood boards,Christiania,5
shooks,Portland,5
oak blocks,New York,5
firewood,Miramichi,5
t logwood,Belize,5
planks,Ljusne,5
firewood,Mesane,5
morgan,Gefle,5
deal ends,Danzig,5
sleepers,Quebec City,5
boards-boyson,Fredrikstad,5
sawn fir,Quebec City,5
firewood,Saguenay,5
cs boards,Christiania,5
lathwood-boyce,Riga,5
doors-j sandell,Gothenburg,5
deal ends,Soroka,5
staves,Antwerp,5
hewn fir,Pensacola,5
deal ends,Drammen,5
planks,Klaipeda,5
sleepers,"Riga, -",5
pitch pine,Pensacola,5
battens,Vaasa,5
pit props,Kalmar,5
deals,"Memel, -",5
lathwood,St. P'burg,5
battens,Uddevalla,5
firewood,Moss,5
battens,Tvedestrand,5
staves,Fiume,5
oak boards,Baltimore,5
battens,Three Rivers,5
logs,Laguna,5
mouldings-foy,Gothenburg,5
walnut squares,Baltimore,5
c deals,Gefle,5
firewood,Narva,5
hewn fir,Quebec City,5
oak boards,Odessa,5
pitwood,Lorient,5
pitwood,Arcachon,5
staves,Hamburg,5
staves,Halifax,5
pieces,Christiania,5
doors-bradley,New York,5
battens,Sannesund,5
pitwood,Blaye,5
millers,Saw,5
from christiansand,Christiania,5
ids pitwood,Redon,4
boards,Furuogrund,4
telegraph poles,Porsgrund,4
furniture wood,New York,4
jarrah,Bunbury,4
sleepers,Antwerp,4
deals,Harnas,4
cedar,Gothenburg,4
deals,Lovisa,4
stays,Gothenburg,4
telegraph poles,Skien,4
sawn fir,Sundswall,4
half-sleepers,Liepāja,4
hardwood,Newport News,4
boards,Stugsund,4
jarrah,Rockingham,4
maple,Boston,4
sawn,Pensacola,4
sawn pitch pine,Pensacola,4
deal ends,Wyborg,4
floorings,Skien,4
ends,Santa Ana,4
morgan,Christiania,4
hardwood,Le Havre,4
firewood,Söderhamn,4
wood hoops,Bordeaux,4
wainscot logs,Sevastopol,4
wood goods,Stockholm,4
wood goods,Gothenburg,4
mason,Laurvig,4
ends,St. Etienne,4
deals,Doboy,4
planks walnut,Venice,4
staves,Sevastopol,4
boards-simson,Gothenburg,4
woodwork,Brussels,4
wood,Sundswall,4
c deals,Riga,4
mahogany,W. O. of Africa,4
half,Danzig,4
pine,Stettin,4
casings,Gothenburg,4
lathwood,Saguenay,4
boards,Boston,4
deals,St. Ignace,4
pitwood,Risoer,4
vigers,Gothenburg,4
pine lumber,Baltimore,4
cs wheels,New York,4
ftls,Belize,4
poplar,Philadelphia,4
firewood,Pensacola,4
logs,Le Havre,4
morgan,Danzig,4
planed boards-with,Gothenburg,4
oak boards,Fiume,4
spruce deals,Montreal,4
firewood,Attu,4
cs mouldings,Christiania,4
walnut,Marseilles,4
sleeper,Klaipeda,4
deals-with,Gothenburg,4
boards,Christiansand,4
hoops,Bordeaux,4
oak,Montreal,4
