record_id,publication_year,publication_month,publication_day,ship_name,origin_port,destination_port,is_steamship,merchant,source_file,line_number,raw_ocr_line,arrival_year,arrival_month,arrival_day,format_type,confidence
94452,1874.0,June,27.0,Cora,Dram,LONDON,True,,"5. p. 68-70 - June 27 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p001.txt",28,"Cora (s) @ Dram,—2,073 doz. boards, 157 doz. battens, Order.",1874.0,February,21,early_at,0.9
9978,1874.0,November,28.0,Eliza B.,Dram,LONDON,False,,"16. p. 237-240 - November 28 1874 - Imports of Timber, &c. -  Timber Trades Journal Vol. 2 1875_p001.txt",57,"Eliza B. @ Dram,—10,759 staves, Order.",1874.0,Nov,16,early_at,0.9
4096,1874.0,September,19.0,Hallyards,Dram,LONDON,False,,"11. p.163-166 - September 19 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p001.txt",102,"Hallyards @ Dram,—10 fms. lathwood, timber, 10 fms. lathwood, Order.",1874.0,Sept,4,early_at,0.9
4066,1874.0,September,19.0,Heimdahl,Dram,LONDON,False,,"11. p.163-166 - September 19 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p001.txt",55,"Heimdahl @ Dram,—1,971 doz. battens, J. Neck & Son.",1874.0,Sept,4,early_at,0.9
4623,1874.0,October,3.0,Hemrod,Dram,LONDON,False,,"12. p. 179-182 - October 3 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p002.txt",44,"Hemrod @ Dram,—521 mille staves, Dahll & Sadler.",1874.0,September,18,early_at,0.9
10000,1874.0,November,28.0,Hermod,Dram,LONDON,False,,"16. p. 237-240 - November 28 1874 - Imports of Timber, &c. -  Timber Trades Journal Vol. 2 1875_p001.txt",85,"Hermod @ Dram,—15,203 deals and battens, Order.",1874.0,Nov,17,early_at,0.9
4609,1874.0,October,3.0,Margaret Allan,Dram,LONDON,False,,"12. p. 179-182 - October 3 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p002.txt",26,"Margaret Allan @ Dram,—18,561 pcs. deals and battens, J. C. Im Thurn & Co.",1874.0,September,18,early_at,0.9
6175,1874.0,October,17.0,Mercur,Dram,LONDON,False,,"13. p. 193-195 - October 17 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p001.txt",16,"Mercur @ Dram,—3,816 pcs. battens, R. L. Dahl & Co.",1874.0,Mar,9,early_at,0.9
10065,1874.0,November,28.0,Olga,Dram,LONDON,False,,"16. p. 237-240 - November 28 1874 - Imports of Timber, &c. -  Timber Trades Journal Vol. 2 1875_p002.txt",15,"Olga @ Dram,—78,806 deals and battens, Order.",1874.0,Nov,25,early_at,0.9
4094,1874.0,September,19.0,Proven,Dram,LONDON,False,,"11. p.163-166 - September 19 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p001.txt",98,"Proven @ Dram,—1,439 pcs. deals, Order.",1874.0,Sept,4,early_at,0.9
10043,1874.0,November,28.0,Rosa,Dram,LONDON,False,,"16. p. 237-240 - November 28 1874 - Imports of Timber, &c. -  Timber Trades Journal Vol. 2 1875_p001.txt",147,"Rosa @ Dram,—1,220 doz. battens, Neck & Co.",1874.0,Nov,21,early_at,0.9
10008,1874.0,November,28.0,Talisman,Dram,LONDON,False,,"16. p. 237-240 - November 28 1874 - Imports of Timber, &c. -  Timber Trades Journal Vol. 2 1875_p001.txt",97,"Talisman @ Dram,—814,858 staves, With, Webster, & Co.",1874.0,Nov,18,early_at,0.9
