year,origin_port,ship_count
1883.0,St. Petersburg,17
1883.0,Boston,16
1883.0,Dantzic,16
1883.0,Stockholm,16
1883.0,Bremen,15
1883.0,Uleaborg,14
1883.0,Dantzig,13
1883.0,Miramichi,13
1883.0,Fredrikshald,12
1883.0,Hambro',12
1883.0,Jamaica,12
1883.0,Baltimore,11
1883.0,Belize,11
1883.0,Rangoon,11
1883.0,Stettin,11
1883.0,Amsterdam,10
1883.0,Hudikswall,10
1883.0,Ljusne,10
1883.0,Porsgrund,10
1883.0,"St. John, N.B.",10
1883.0,Libau,9
1883.0,Arendal,8
1883.0,Bordeaux,8
1883.0,Krageroe,8
1883.0,Skien,8
1883.0,Three Rivers,8
1883.0,Uddevalla,8
1883.0,Chicontimi,7
1883.0,Havre,7
1883.0,Konigsberg,7
1883.0,Moulmein,7
1883.0,New Orleans,7
1883.0,Odessa,7
1883.0,Pitea,7
1883.0,Swartvik,7
1883.0,Windau,7
1883.0,Antwerp,6
1883.0,Bjorneborg,6
1883.0,Finklippan,6
1883.0,Halifax,6
1883.0,Nyhamn,6
1883.0,Rotterdam,6
1883.0,Sandarne,6
1883.0,Genoa,5
1883.0,Helsingfors,5
1883.0,Hernosand,5
1883.0,Hernösand,5
1883.0,Metis,5
1883.0,Narva,5
1883.0,Santa Ana,5
1883.0,Swartwik,5
1883.0,Tornea,5
1883.0,Bayonne,4
1883.0,Calcutta,4
1883.0,Catania,4
1883.0,Dieppe,4
1883.0,Langror,4
1883.0,Mobile,4
1883.0,Oscarshamn,4
1883.0,Pascagoula,4
1883.0,Philadelphia,4
1883.0,Redon,4
1883.0,Sandvik,4
1883.0,Shanghai,4
1883.0,Torefors,4
1883.0,Venice,4
1883.0,Bangkok,3
1883.0,Bathurst,3
1883.0,Brevig,3
1883.0,Dram,3
1883.0,Halmstad,3
1883.0,Kramfors,3
1883.0,Leghorn,3
1883.0,Madras,3
1883.0,Marseilles,3
1883.0,Minatitlan,3
1883.0,Munksund,3
1883.0,Neder Kalix,3
1883.0,Norrkoping,3
1883.0,Nuevitas,3
1883.0,Oxelosund,3
1883.0,Puerto Cortez,3
1883.0,Pugwash,3
1883.0,Richibucto,3
1883.0,Rimouski,3
1883.0,River Ouelle,3
1883.0,Savannah,3
1883.0,Skonvik,3
1883.0,Skutskar,3
1883.0,Soroka,3
1883.0,Wyborg,3
1883.0,Auckland,2
1883.0,"Bathurst, N.B.",2
1883.0,Bersimis,2
1883.0,Bollsta Bruk,2
1883.0,Borga,2
1883.0,Burea,2
1883.0,Cardenas,2
1883.0,Christiansand,2
1883.0,Christinestadt,2
1883.0,Dalhousie,2
1883.0,Dantzie,2
1883.0,Domsjo,2
1883.0,Dordt,2
1883.0,Drontheim,2
1883.0,Falkenburg,2
1883.0,"Guysboro', N.S.",2
1883.0,"Halifax, N.S.",2
1883.0,Hamburg,2
1883.0,Lulea,2
1883.0,Magdalen River,2
1883.0,Mandal,2
1883.0,Matane,2
1883.0,Mexico,2
1883.0,Moss,2
1883.0,Musquash,2
1883.0,Nassau,2
1883.0,Nordmaling,2
1883.0,Ornskjoldsvik,2
1883.0,Raumo,2
1883.0,Reval,2
1883.0,Risoer,2
1883.0,Santos,2
1883.0,Sault,2
1883.0,Shediac,2
1883.0,Skelleftea,2
1883.0,Skönvik,2
1883.0,St. Ana,2
1883.0,St. Brieux,2
1883.0,Stockaviken,2
1883.0,Trieste,2
1883.0,Uddewalla,2
1883.0,Wifstawarf,2
1883.0,Wyburg,2
1883.0,-New York,1
1883.0,Aastrup,1
1883.0,Alvarado,1
1883.0,Attu,1
1883.0,Augusta,1
1883.0,Bangsund,1
1883.0,Barbadoes,1
1883.0,Bari,1
1883.0,Bay de Verte,1
1883.0,Berbice,1
1883.0,Bermuda,1
1883.0,Betsiamitz,1
1883.0,Bombay,1
1883.0,"Bridgwater, N.S.",1
1883.0,Brunswick,1
1883.0,Buctouche,1
1883.0,"Buctouche, N.B.",1
1883.0,Calabar,1
1883.0,Calmar,1
1883.0,Calmo,1
1883.0,Campbeltown,1
1883.0,Carlscrona,1
1883.0,Carlsvik,1
1883.0,"Catania, &c.",1
1883.0,Catterina,1
1883.0,"Charlotte Town, P.E.I.",1
1883.0,"Chatham, N.B.",1
1883.0,Chicoutimi,1
1883.0,Chittagong,1
1883.0,Christinestad,1
1883.0,Cienfuegos,1
1883.0,Cochin,1
1883.0,Colombo,1
1883.0,Constantinople,1
1883.0,Cornelius,1
1883.0,Danzic,1
1883.0,Demerara,1
1883.0,Engelhart Quito,1
1883.0,Essvik,1
1883.0,Falkenberg,1
1883.0,Franceville,1
1883.0,Fredikshald,1
1883.0,Fredrikshamn,1
1883.0,Fredriksvaern,1
1883.0,Fredriksval,1
1883.0,Furnogrund,1
1883.0,Furuogrund,1
1883.0,Gideabacka,1
1883.0,Girl,1
1883.0,Grand Pablos,1
1883.0,Grand Pabos,1
1883.0,Grand Palios,1
1883.0,"Guysborough, N.S.",1
1883.0,Halmstadt,1
1883.0,Halsoen,1
1883.0,Halsoer,1
1883.0,Hamnholmen,1
1883.0,Hanko,1
1883.0,Haparanda,1
1883.0,Hennebont,1
1883.0,Higge,1
1883.0,Holmestrand,1
1883.0,Holmsund,1
1883.0,Hussein,1
1883.0,Husum,1
1883.0,Idefjord,1
1883.0,Isla Maria,1
1883.0,Jacobstadt,1
1883.0,Johannadal,1
1883.0,Klampenburg,1
1883.0,Kraeroe,1
1883.0,Kragero,1
1883.0,Krasko,1
1883.0,Kungagarden,1
1883.0,Kungsgarden,1
